protocol,transfer_rate,avg_pkt_size,host_ratio,host_num,diff_port_num,diff_sport_num,opp_ratio,label
tcp,177.9,8931,0.25,1,2,2,0.91,normal
tcp,0.13,74,0.5,1,51,2,1.0,portscan
tcp,0.46,54,0.2,1,239,239,1.0,tcpsynflood
icmp,1.23,98,0.33,6,1,1,0.5,ipsweep
icmp,0.22,98,0.8,16,1,1,1.0,ipsweep
udp,0.23,42,0.5,1,75,5,0.0,portscan
icmp,1.57,98,0.82,9,1,1,1.0,ipsweep
udp,8729.93,42,0.33,1,1,1,0.0,udpflood
tcp,0.14,54,1.0,1,387,387,1.0,tcpsynflood
udp,0.11,155,1.0,1,105,1,1.0,normal
icmp,190.59,98,1.0,1,1,1,1.0,icmpflood
icmp,26.23,1499,0.11,1,1,1,1.0,pingofdeath
tcp,0.38,54,0.5,1,350,350,1.0,tcpsynflood
tcp,10.63,13280,1.0,1,1,1,0.86,normal
tcp,0.22,54,1.0,1,283,283,0.0,tcpsynflood
udp,458.06,62,1.0,1,1,1,0.0,udpflood
tcp,0.2,54,0.2,1,118,118,1.0,tcpsynflood
tcp,17.48,10443,1.0,1,1,1,0.7,normal
udp,13916.71,62,0.2,1,1,1,0.0,udpflood
tcp,0.18,54,1.0,1,57,57,1.0,tcpsynflood
icmp,510.55,98,1.0,1,1,1,0.95,icmpflood
tcp,0.21,54,1.0,1,111,111,1.0,tcpsynflood
udp,0.08,99,1.0,1,16,1,1.0,normal
tcp,0.18,54,0.5,1,931,931,1.0,tcpsynflood
tcp,0.57,465,0.25,1,2,1,0.88,normal
tcp,0.67,54,0.5,1,80,80,1.0,tcpsynflood
udp,877.22,62,0.17,1,1,1,0.0,udpflood
udp,5977.07,42,0.5,1,1,1,0.0,udpflood
udp,3049.26,62,0.25,1,1,1,0.0,udpflood
icmp,0.78,52,0.83,13,1,1,1.0,ipsweep
tcp,0.55,54,0.2,1,597,597,1.0,tcpsynflood
tcp,2.45,469,0.5,1,1,1,0.88,normal
icmp,0.64,98,0.83,18,1,1,1.0,ipsweep
udp,1386.94,42,1.0,1,1,1,0.0,udpflood
icmp,0.22,85,1.0,19,1,1,1.0,ipsweep
tcp,0.2,54,0.5,1,1617,1617,1.0,tcpsynflood
tcp,0.28,54,0.33,1,4,1,0.0,normal
icmp,0.21,85,0.8,22,1,1,1.0,ipsweep
tcp,12.06,3036,1.0,1,1,1,0.76,normal
tcp,0.72,54,0.2,1,65,65,1.0,tcpsynflood
icmp,0.55,98,0.88,10,1,1,1.0,ipsweep
tcp,0.19,74,0.33,1,71,1,1.0,portscan
tcp,0.85,54,0.5,1,376,376,1.0,tcpsynflood
tcp,1.25,550,1.0,1,1,1,0.93,normal
udp,1302.36,62,0.17,1,1,1,0.0,udpflood
udp,759.09,62,0.2,1,1,1,0.0,udpflood
icmp,0.99,98,0.1,1,1,1,0.97,normal
icmp,357.15,98,1.0,1,1,1,0.98,icmpflood
tcp,0.4,54,0.33,1,280,280,1.0,tcpsynflood
icmp,0.34,98,0.78,9,1,1,1.0,ipsweep
udp,1016.45,42,0.5,1,1,1,0.0,udpflood
tcp,0.48,82,1.0,1,101,101,1.0,tcpsynflood
tcp,0.35,905,0.33,1,6,1,1.0,normal
udp,0.1,42,1.0,1,121,5,0.0,portscan
icmp,64.9,1323,0.5,1,1,1,1.0,pingofdeath
tcp,0.1,62,0.33,1,2,1,1.0,normal
icmp,1.08,78,1.0,19,1,1,1.0,ipsweep
tcp,0.08,54,1.0,1,56,56,1.0,tcpsynflood
tcp,0.51,54,0.5,1,205,205,1.0,tcpsynflood
tcp,2.17,230,1.0,1,4,1,0.7,normal
tcp,0.33,74,1.0,1,719,2,1.0,portscan
udp,13296.45,42,0.25,1,1,1,0.0,udpflood
udp,0.32,164,1.0,1,125,1,1.0,normal
icmp,77.04,1429,1.0,1,1,1,1.0,pingofdeath
tcp,0.57,54,0.25,1,159,159,1.0,tcpsynflood
udp,348.52,124,0.2,1,1,1,0.0,udpflood
