protocol,transfer_rate,avg_pkt_size,host_ratio,host_num,diff_port_num,diff_sport_num,opp_ratio,label
tcp,0.28,54,1.0,1,353,353,1.0,tcpsynflood
icmp,22.35,1458,1.0,1,1,1,1.0,pingofdeath
icmp,0.35,98,0.8,8,1,1,1.0,ipsweep
tcp,0.1,74,1.0,1,568,1,1.0,portscan
udp,1.02,42,0.2,1,1089,3,0.0,portscan
udp,7240.82,42,1.0,1,1,1,0.0,udpflood
tcp,1.19,483,1.0,1,1,1,0.81,normal
tcp,3.0,200,1.0,1,1,1,1.0,normal
tcp,0.6,54,0.5,1,269,269,1.0,tcpsynflood
icmp,0.27,75,1.0,8,1,1,1.0,ipsweep
tcp,0.81,102,0.5,1,98,1,1.0,portscan
tcp,1.35,943,0.33,1,2,1,1.0,normal
udp,0.65,212,1.0,1,46,1,1.0,normal
udp,3776.91,78,0.2,1,1,1,0.0,udpflood
icmp,0.87,52,0.83,5,1,1,1.0,ipsweep
tcp,9.29,2126,1.0,1,2,1,0.92,normal
udp,2305.5,67,1.0,1,1,1,0.0,udpflood
tcp,0.64,54,1.0,1,1201,1201,1.0,tcpsynflood
tcp,5.22,9158,1.0,1,2,1,1.0,normal
icmp,0.53,57,0.73,8,1,1,1.0,ipsweep
udp,0.23,42,0.5,1,783,3,0.0,portscan
tcp,0.78,54,0.5,1,63,63,1.0,tcpsynflood
udp,0.15,135,1.0,1,46,1,1.0,normal
tcp,0.45,54,1.0,1,76,76,1.0,tcpsynflood
udp,0.42,139,1.0,2,22,1,1.0,normal
udp,4438.39,62,1.0,1,1,1,0.0,udpflood
icmp,0.59,98,0.78,12,1,1,1.0,ipsweep
tcp,0.26,414,1.0,1,1,1,1.0,normal
udp,0.83,42,1.0,1,525,6,0.0,portscan
udp,0.06,239,1.0,1,27,1,1.0,normal
tcp,1.56,85,1.0,1,12,1,1.0,normal
tcp,1.06,58,0.5,1,428,2,1.0,portscan
tcp,0.17,54,0.5,1,558,558,1.0,tcpsynflood
udp,0.74,42,0.5,1,641,5,0.0,portscan
icmp,2350.54,42,1.0,1,1,1,1.0,icmpflood
tcp,0.17,54,0.33,1,1263,1263,0.0,tcpsynflood
tcp,1.06,58,1.0,1,79,1,1.0,portscan
tcp,0.85,74,1.0,1,626,1,1.0,portscan
tcp,0.7,100,1.0,1,46,2,1.0,portscan
udp,0.08,113,0.33,1,67,1,1.0,normal
tcp,0.79,54,0.2,1,156,156,1.0,tcpsynflood
tcp,0.1,54,1.0,1,421,421,1.0,tcpsynflood
udp,0.21,42,0.5,1,222,7,0.0,portscan
tcp,0.87,54,1.0,1,428,428,0.5,tcpsynflood
icmp,736.94,98,0.33,1,1,1,1.0,icmpflood
tcp,0.31,54,1.0,1,3,1,1.0,normal
tcp,0.77,54,0.33,1,851,851,1.0,tcpsynflood
icmp,0.73,85,0.8,7,1,1,1.0,ipsweep
icmp,3922.4,42,0.25,1,1,1,1.0,icmpflood
icmp,135.85,1397,1.0,1,1,1,1.0,pingofdeath
tcp,1.05,74,1.0,1,452,1,1.0,portscan
tcp,0.66,54,1.0,1,158,158,1.0,tcpsynflood
icmp,10.95,98,0.5,1,1,1,1.0,normal
tcp,1.01,54,0.25,1,591,591,1.0,tcpsynflood
icmp,0.32,98,0.4,2,1,1,1.0,normal
udp,15897.81,42,0.25,1,1,1,0.0,udpflood
icmp,11089.98,42,0.25,1,1,1,0.99,icmpflood
icmp,0.26,62,0.93,15,1,1,1.0,ipsweep
udp,0.05,175,1.0,1,49,1,1.0,normal
icmp,4308.29,42,1.0,1,1,1,1.0,icmpflood
icmp,0.3,75,0.67,16,1,1,1.0,ipsweep
icmp,2368.68,42,0.33,1,1,1,0.91,icmpflood
tcp,0.57,54,0.5,1,371,371,1.0,tcpsynflood
tcp,0.21,74,1.0,1,349,1,1.0,portscan
icmp,17.06,98,0.5,1,1,1,1.0,normal
icmp,187.95,1437,0.33,1,1,1,0.99,pingofdeath
tcp,10.22,1848,1.0,1,1,1,1.0,normal
icmp,370.24,42,0.17,1,1,1,0.89,icmpflood
tcp,0.4,74,0.5,1,429,1,1.0,portscan
icmp,0.53,75,0.89,8,1,1,1.0,ipsweep
tcp,14.43,924,1.0,1,1,1,0.68,normal
udp,1900.03,62,0.5,1,1,1,0.0,udpflood
icmp,0.86,98,0.8,8,1,1,1.0,ipsweep
icmp,120.93,1403,1.0,1,1,1,1.0,pingofdeath
tcp,0.24,74,1.0,1,488,1,1.0,portscan
tcp,14.68,5725,1.0,1,3,1,0.97,normal
tcp,0.87,403,0.33,1,1,1,1.0,normal
tcp,1.05,54,1.0,1,1024,1024,1.0,tcpsynflood
tcp,2.31,753,0.33,1,2,1,0.95,normal
icmp,1.06,98,0.85,7,1,1,1.0,ipsweep
tcp,0.59,54,0.5,1,107,107,1.0,tcpsynflood
icmp,2023.55,42,0.25,1,1,1,1.0,icmpflood
icmp,0.69,98,0.83,14,1,1,0.67,ipsweep
tcp,17.28,1990,0.33,1,7,1,0.6,normal
icmp,23.34,1576,0.14,1,1,1,1.0,pingofdeath
icmp,1229.42,42,1.0,1,1,1,1.0,icmpflood
icmp,258.52,1504,1.0,1,1,1,1.0,pingofdeath
udp,0.46,42,0.5,1,997,5,0.0,portscan
tcp,1.51,351,1.0,1,1,1,0.73,normal
tcp,0.64,54,1.0,1,96,96,1.0,tcpsynflood
tcp,1.81,95,0.33,1,1,1,0.67,normal
tcp,0.23,74,1.0,1,117,1,1.0,portscan
udp,13941.79,62,0.5,1,1,1,0.0,udpflood
icmp,14545.47,42,0.33,1,1,1,0.85,icmpflood
icmp,87431.48,42,0.5,1,1,1,1.0,icmpflood
icmp,134.15,1475,1.0,1,1,1,0.99,pingofdeath
icmp,0.34,75,0.89,14,1,1,1.0,ipsweep
icmp,8013.81,106,0.5,1,1,1,0.98,icmpflood
icmp,0.49,98,0.78,14,1,1,1.0,ipsweep
tcp,0.89,58,1.0,2,339,2,1.0,portscan
udp,0.4,145,0.33,1,67,1,1.0,normal
tcp,0.96,563,0.33,1,1,1,1.0,normal
udp,0.15,115,1.0,1,46,1,1.0,normal
tcp,0.84,54,0.2,1,1037,1037,1.0,tcpsynflood
icmp,0.65,98,0.85,10,1,1,1.0,ipsweep
tcp,0.77,415,1.0,1,2,1,1.0,normal
tcp,0.17,54,1.0,1,518,518,1.0,tcpsynflood
tcp,0.83,54,0.5,1,189,189,1.0,tcpsynflood
icmp,0.63,98,1.0,13,1,1,0.91,ipsweep
udp,1871.77,113,0.17,1,1,1,0.0,udpflood
udp,1545.53,42,0.33,1,1,1,0.0,udpflood
udp,4416.63,62,1.0,1,1,1,0.0,udpflood
tcp,0.21,74,0.5,1,600,2,1.0,portscan
udp,0.3,42,1.0,1,160,1,0.0,portscan
tcp,1.19,939,0.33,1,2,1,1.0,normal
icmp,5000.32,106,0.33,1,1,1,1.0,icmpflood
udp,2607.85,42,1.0,1,1,1,0.0,udpflood
tcp,0.21,54,0.2,1,77,77,1.0,tcpsynflood
icmp,1.02,78,0.94,9,1,1,1.0,ipsweep
icmp,2176.92,82,0.5,2,1,1,1.0,icmpflood
tcp,0.44,460,0.33,1,4,1,1.0,normal
icmp,778.22,106,0.2,1,1,1,0.98,icmpflood
icmp,1254.55,78,0.25,1,1,1,1.0,icmpflood
tcp,0.81,74,0.5,1,89,1,1.0,portscan
udp,0.6,86,1.0,1,30,8,0.0,portscan
udp,0.1,166,1.0,2,2,1,1.0,normal
icmp,0.21,98,1.0,7,1,1,1.0,ipsweep
icmp,0.39,98,1.0,14,1,1,1.0,ipsweep
tcp,0.1,54,1.0,1,1164,1164,0.28,tcpsynflood
udp,1845.8,62,1.0,1,1,1,0.0,udpflood
tcp,0.54,74,1.0,1,639,1,1.0,portscan
icmp,498.14,42,0.25,1,1,1,0.99,icmpflood
udp,0.16,146,0.33,1,67,1,1.0,normal
tcp,0.87,58,1.0,1,249,1,1.0,portscan
tcp,1.06,54,0.25,1,198,198,1.0,tcpsynflood
icmp,1.0,98,1.0,8,1,1,1.0,ipsweep
tcp,1.05,54,0.33,1,402,402,1.0,tcpsynflood
tcp,0.49,74,1.0,1,739,1,1.0,portscan
tcp,0.26,627,1.0,1,7,1,1.0,normal
icmp,44.28,1432,1.0,1,1,1,1.0,pingofdeath
tcp,0.34,54,0.5,1,520,520,1.0,tcpsynflood
udp,157.68,42,0.25,1,1,1,0.0,udpflood
icmp,1531.56,106,0.33,1,1,1,1.0,icmpflood
tcp,0.49,74,1.0,1,217,1,1.0,portscan
udp,0.44,42,0.2,1,726,6,0.0,portscan
icmp,103.66,1531,1.0,1,1,1,1.0,pingofdeath
icmp,12289.2,106,0.5,1,1,1,0.98,icmpflood
tcp,6.04,319,1.0,1,1,1,1.0,normal
tcp,0.0,557,1.0,1,2,1,0.93,normal
tcp,1.59,753,0.33,1,2,1,0.95,normal
tcp,0.21,54,0.33,1,98,98,1.0,tcpsynflood
icmp,0.51,79,0.94,19,1,1,1.0,ipsweep
icmp,1738.1,42,1.0,1,1,1,1.0,icmpflood
icmp,1659.83,82,0.5,2,1,1,1.0,icmpflood
tcp,0.17,54,0.5,1,999,999,1.0,tcpsynflood
icmp,1485.01,42,1.0,1,1,1,0.83,icmpflood
udp,0.19,102,1.0,1,3,1,1.0,normal
tcp,0.96,58,0.2,1,463,1,1.0,portscan
udp,0.07,111,0.33,1,67,1,1.0,normal
udp,1547.91,42,0.25,1,1,1,0.0,udpflood
tcp,0.52,54,1.0,1,1,1,1.0,normal
icmp,2648.12,42,0.5,1,1,1,1.0,icmpflood
tcp,1.32,409,1.0,1,2,1,1.0,normal
udp,2782.51,62,1.0,1,1,1,0.0,udpflood
udp,4486.86,62,1.0,1,1,1,0.0,udpflood
icmp,1.08,78,0.94,16,1,1,1.0,ipsweep
udp,15567.68,42,0.25,1,1,1,0.0,udpflood
icmp,0.19,98,0.2,1,1,1,1.0,normal
tcp,0.19,85,1.0,1,2,1,1.0,normal
udp,4227.37,42,0.5,1,1,1,0.0,udpflood
tcp,0.0,1111,1.0,1,2,1,1.0,normal
tcp,1.05,74,1.0,1,1043,1,1.0,portscan
icmp,0.51,98,0.86,18,1,1,1.0,ipsweep
tcp,4.03,274,0.33,1,2,1,0.82,normal
icmp,7076.94,42,0.25,1,1,1,1.0,icmpflood
tcp,0.2,68,1.0,1,1,1,0.5,normal
icmp,605.21,42,0.2,1,1,1,1.0,icmpflood
tcp,0.8,74,1.0,1,642,1,1.0,portscan
tcp,0.68,74,1.0,1,476,2,1.0,portscan
icmp,673.35,42,0.5,1,1,1,1.0,icmpflood
tcp,1.2,54,0.5,1,1043,1043,1.0,tcpsynflood
icmp,0.29,98,0.67,4,1,1,1.0,ipsweep
udp,7380.81,62,1.0,1,1,1,0.0,udpflood
icmp,0.74,78,0.94,13,1,1,1.0,ipsweep
icmp,7215.68,42,0.12,1,1,1,0.99,icmpflood
icmp,1.01,98,1.0,12,1,1,1.0,ipsweep
icmp,186.1,1302,0.11,1,1,1,1.0,pingofdeath
tcp,0.48,58,0.2,1,893,1,1.0,portscan
udp,8164.15,62,1.0,1,1,1,0.0,udpflood
udp,0.97,141,1.0,1,127,3,0.0,portscan
udp,1.14,42,0.17,1,306,2,0.0,portscan
tcp,0.91,74,0.17,1,770,2,1.0,portscan
icmp,1368.84,79,0.33,1,1,1,1.0,icmpflood
icmp,919.22,42,0.5,1,1,1,1.0,icmpflood
tcp,2.53,695,1.0,1,1,1,0.91,normal
udp,0.34,42,1.0,1,594,3,0.0,portscan
icmp,5894.45,106,0.25,1,1,1,1.0,icmpflood
tcp,0.6,60,0.25,1,548,548,1.0,tcpsynflood
udp,9865.0,62,0.5,1,1,1,0.0,udpflood
tcp,0.74,54,0.33,1,770,770,0.28,tcpsynflood
udp,12143.52,42,0.17,1,1,1,0.0,udpflood
icmp,1710.19,42,0.33,1,1,1,0.99,icmpflood
tcp,0.48,54,0.5,1,227,227,1.0,tcpsynflood
tcp,0.17,54,0.5,1,474,474,1.0,tcpsynflood
icmp,1127.97,42,1.0,1,1,1,0.6,icmpflood
tcp,0.45,54,1.0,1,1068,1068,1.0,tcpsynflood
icmp,0.15,98,0.82,13,1,1,1.0,ipsweep
icmp,0.83,78,0.88,15,1,1,1.0,ipsweep
udp,0.06,350,1.0,1,42,1,1.0,normal
icmp,1718.84,42,0.2,1,1,1,1.0,icmpflood
icmp,53.94,1443,0.25,1,1,1,1.0,pingofdeath
icmp,0.2,85,0.8,21,1,1,1.0,ipsweep
udp,12970.53,42,1.0,1,1,1,0.0,udpflood
icmp,0.75,52,1.0,20,1,1,1.0,ipsweep
